pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
992,0,0.95,0.6424,0.4219,0.9347,0.2476,0.2505,0.0,0.474,Non-Duplicate,2,False,0.5,4
993,0,0.4186,0.3871,0.2283,0.3393,0.0187,0.0193,0.0,0.2087,Non-Duplicate,0,False,0.5,4
994,1,0.9302,1.0,1.0,1.0,0.9895,0.9906,0.0,0.9885,Easy,1,False,0.5,0
995,0,0.6111,0.4428,0.3406,0.453,0.0304,0.0314,0.0,0.2641,Non-Duplicate,0,False,0.5,4
996,0,0.439,0.4438,0.5977,0.6459,0.0348,0.0335,0.0,0.2744,Non-Duplicate,2,False,0.5,4
997,1,0.8727,1.0,0.3178,1.0,0.9721,0.9958,0.0,0.9112,Hard,3,False,0.5,2
998,0,0.5128,0.3386,0.3945,0.2977,0.0345,0.036,0.0,0.2251,Non-Duplicate,0,False,0.5,4
999,1,0.7451,0.9985,0.6667,1.0,0.9919,0.9995,0.0,0.9385,Medium,3,False,0.5,1
1000,0,0.5,0.4345,0.2936,0.4343,0.0263,0.028,0.0,0.2436,Non-Duplicate,0,False,0.5,4
1001,0,0.4348,0.2738,0.337,0.0127,0.0337,0.0363,0.0,0.1887,Non-Duplicate,0,False,0.5,4
1002,1,0.7451,0.9812,0.7667,1.0,0.9389,0.9599,0.0,0.9213,Hard,1,False,0.5,2
1003,0,0.4762,0.4648,0.5954,0.9094,0.0223,0.0248,0.0,0.2804,Non-Duplicate,2,False,0.5,4
1004,1,0.8837,1.0,1.0,1.0,0.9806,0.9865,0.0,0.9808,Easy,1,False,0.5,0
1005,1,0.84,0.9916,0.9224,1.0,0.9828,0.9988,0.0,0.9688,Easy,1,False,0.5,0
1006,0,0.5128,0.3404,0.1941,0.3167,0.0286,0.031,0.0,0.2032,Non-Duplicate,0,False,0.5,4
1007,0,0.3556,0.3695,0.342,0.0193,0.0388,0.0552,0.0,0.2198,Non-Duplicate,0,False,0.5,4
1008,0,0.5641,0.3709,0.2831,0.3286,0.0182,0.018,0.0,0.2227,Non-Duplicate,0,False,0.5,4
1009,0,0.4231,0.3205,0.6402,0.0177,0.0451,0.045,0.0,0.2388,Non-Duplicate,0,False,0.5,4
1010,0,0.5128,0.3229,0.3589,0.2645,0.0247,0.0265,0.0,0.2117,Non-Duplicate,0,False,0.5,4
1011,0,0.4091,0.439,0.4822,0.9303,0.0145,0.0168,0.0,0.2498,Non-Duplicate,2,False,0.5,4
1012,0,0.5714,0.391,0.2813,0.3522,0.0218,0.0213,0.0,0.2318,Non-Duplicate,0,False,0.5,4
1013,0,0.4255,0.0811,0.4868,0.0126,0.0309,0.03,0.0,0.1333,Non-Duplicate,0,False,0.5,4
1014,0,0.4545,0.3771,0.3055,0.5942,0.0055,0.0054,0.0,0.2104,Non-Duplicate,2,False,0.5,4
1015,0,0.5714,0.3118,0.358,0.2387,0.0165,0.0182,0.0,0.2098,Non-Duplicate,0,False,0.5,4
1016,0,0.5128,0.3145,0.5114,0.2701,0.0159,0.0155,0.0,0.2196,Non-Duplicate,0,False,0.5,4
1017,0,0.439,0.4505,0.3667,0.7245,0.0217,0.023,0.0,0.2483,Non-Duplicate,2,False,0.5,4
1018,1,0.8333,0.9945,0.5228,1.0,0.9306,0.9396,0.0,0.9043,Hard,3,False,0.5,2
1019,1,0.918,0.9968,1.0,1.0,0.9997,0.9999,0.0,0.9906,Easy,1,False,0.5,0
1020,1,0.9268,1.0,1.0,1.0,0.974,0.9846,0.0,0.9831,Easy,1,False,0.5,0
1021,1,0.8571,1.0,0.4333,1.0,0.9002,0.9125,0.0,0.8866,Hard,3,False,0.5,2
1022,0,0.4865,0.4199,0.4269,0.8366,0.018,0.018,0.0,0.2464,Non-Duplicate,2,False,0.5,4
